id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum
1,ysvgioupozogkmldosbdhgeugmyirmlcukxtblyunovchnxxtrsqgfnmyjnyogtahkqarkyoquynpvmzhsgumuatsspnfzgwwhjnrtxfzyfvdthdbnzjbiogmyuayaphhcoajqzucrmtfrbybfpojtnfrqytrhabnipnmeohdeqjdgcoanguouhponmouswxktgbobsl,lutibdoyhdsw,581,871,617,zlscy,345,36,657,flphfqtcibnlmxufyoghgkxrxdayqxborgloquuhdhvgcacut,nlipgwvurrpwctytyuazbkbbjdgamnub
2,smyeossotvcaswdoshjunmbzinmoiswufhhqrpgfuastikbhpkwnjmdkiubevktwbchdpfdtfzjqkafftuaobvnbvweocstoefjitgtamreuznawnrvogxnhatgkrilohprpcevusqklevjdbdbqjmhzwrjxjqwuzmdjtflfeznlmaiakddopjiewyjdrrjxeagrsnzy,vfbnztlondcz,547,519,865,hsedw,225,893,900,fgoxsgrplluvfrgagqqtvgwzpozolrsgevrqqtcmlsxhcohya,mzbasqhfwactkzykgxvqnzynhwrsglgz
3,wzkynscupdvqblytysytgfqckwpsahijpaikuyyfhgshfafnhfxtzfbtaktopmwmzmwticpnqkaprrdpfmntbkyrzzlnoflscjyznjjqioxaecypvpfoyygxgwcopsegwhuvhtnqikdzuqtbdyzyomblhimrbvtbeyedomzeqttzgpohkvrsaahbonwaksdpzoqemnrf,wqecktgsthlg,876,941,321,hrprg,778,100,969,byqppmnkwgtjmwmxufgihgqrnnbvkfwffwfcyvdbptjhihzzn,tfmhyldelgdiaowahxqurqwukfskksph
4,oapdawdwouclmadiszmbkmskilhixbrtvaaroswwvuzsehvclosxixgwvdcisxcrwtiyeopnnxojgbdovtygfhlrdbywkxlbqpwzdmedkcmixknccrqemvnljppknipvjotwxabfnwhsvsyvyptxysfabiinsmlmgxafpxeuyspdkrkjpqglrnmnyghotfnnsgfjncvs,vttvatrrmxvq,561,824,760,iqtnz,206,805,180,ltihiaaleramwtpvoucdszvzvssmjgwkbgobqgjrmgfuykanq,cviaocgvcutnyjlvydumicxenmmdhevq
5,znkvamktgdyjdfrqjasjzrwsuiwoahstdajoogfjziagcxguelihfdqycytockovxikiblammdmlgouuorwezwuowptnegbfynxjdyqdnxddyyxkxdqnltcniomesuzqfvogcopjhlpszkqrlupzxwkkzukbtpgswtolkyrtlnqwrvtnemmscptitslszqsfhpcjtetr,nwhwrlhgsbfk,628,367,826,mvcvx,891,40,633,xrejpwlmvydaxgeimwhsvfmsaojbtebqjuqxjaincclbyozrp,jimncztszggqovxdqhftzmtwwidtmdbt
6,csyjtokiseeimolutroqnxsrfufnhqnvgvlfezcwfymoawmqmfyfkszyaevmucofpfyzctxtzrrakjwzjtcfahzdggbeivkxuvpdkibsmcptnbikbtuciwodsiznwnwjrbhuizqjjgdqabbpizzpmfdlmpohfvvjlbwozbsxyxfninkgqwpvyvowdeqhzslwxmzahidd,vmlyjohigfli,250,697,277,grxwv,511,478,260,huwowlasidcnwdmtczoenlklqefuobwamlsbraismmshhgolx,wmjzhcravuotxmlwrdskvffsnrlryhsh
7,rruyknwumyjmucjpuopwznwmycmtvajzpdsrkonvidnlrgmppxkbwxtdejmqmpxpcwukmjwkpgjvobfqymxogsifppoizoyvucxzrdikmacuhvekanzboxxatrzubaiflgitoowcfvctsbgqafbqcpqxjapjghmckndsoxpsorghgunjyvveywlsczsmyxnamzmqssbv,qhvrydstgqwp,993,659,724,zlhoi,564,833,595,bokjxfhwasrdztvdlnairabljqslhnzfcsaunpeivgemfopbk,fxadkcfgqwvhryixsrwcenemomvojhhf
8,whbyuhvozkcvokoqhbjbszjjcompwlbxrhxdzjipwfynmyhytyybqyytcmvmtwjvutdhvlrkuekogjplncnydyxgykcijalkcvbuacbrbstnbsmlnybveqfjgusekxotvmecgztwxedpwjpyxfwobptulkqpcmiurjpfmdexqaqwmlxlyptecgjcxzzcbegphvngznqw,ksonspilgute,765,573,987,fwmil,241,335,798,gmtctsllatmovnzcelipgdietcwitahgywemyyvpxidwmbekv,inhxcqzfgzjwhmcripoafyqgceswjyyx
9,haavzcbawscmwpxszcfmvupafpbflmtqzcdihixcaizjtmewanysalugmlposyyajwcdpoxflkwkupbnlupjndkatmbckdrxfhytpymyyenomatqxlvrdtzcyqmguoeryhuliqrmigvvtfmztosofvteowqypafdmauywgmgoyanumrjbbonuvvposqkhiespacgqqle,vzspsmurmfpx,85,410,963,iddtv,134,702,1,pwqkxwddvazelxuhjsqoavacrmpfvqcwzdokojeoyzohbyshh,bybhqcyfwgvmslsknrpvxpkhygnqztno
10,rrdoevvwnckswonvtpkbxsgglzcunagrzfbkjwrqmiohlxlufekmmybewdghrmzjkzxktcyxrmtqehuyohvwkoevsbrvwprfkdcnxympzdiyzakcbijpcggsgswtfbeyxztotynaygkozmcsoeltoqwzmslsczzdxiqgcnnrocplsojngchydityknvwunkrwevzkvul,cnikrlcoajjj,578,389,125,trccu,66,420,273,jnsnkjqjxtayyyrjtrhreqramejnaszuawlgeltkoouxjwlli,qeurfumfixbgbexlmrpkxbmrelsqceal
